the_geom,temp,the_geom_webmercator,narrative,nearest_city,equipment_damage,minute,rr_employees_killed,year,highest_speed_reported,passengers_injured,hour,tons,states,county,railroad,date,cartodb_id,others_injured,state,subdivision,cause,cause_subcategory,train_speed,weather,total_damage,accident_type,passengers_killed,visibility,day,rr_employees_injured,am_pm,month,image,zip_code
0101000020E6100000300E2E1D732E55C0AEBA0ED594703F40,62,0101000020110F0000F36CB9C749FD61C1B62D4D3905274C41,"AT BOTTOM OF TRAIN, LAST CAR ON GROUND AND MISSING 3RD AND 4TH AXLE.  DERAIL DUE TO HEAD AND WED SEP ARATION.      ",ARLINGTON,2000,0,0,2010,20,0,5,0,31,EARLY,GSWR,2010-01-18 00:00:00+00,2933,0,Georgia,,"Rack, Roadbed and Structures","Rail, Joint Bar and Rail Anchoring",20,Clear,202000,Derailment,0,Day,18,0,PM,10-Jan,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000234A7B832F4455C0FCC8AD49B7493F40,72,0101000020110F0000585663A0BF0F62C101135E075D004C41,"WHILE PULLING ON CIRR LEAD TRACK IN HILTON GA W/4 ENGINES, 85 LOADS, & 9 EMPTIES HAZMAT TANK DERAILE D 10 FEET FROM NS LEAD SWITCH & DERAILED OTHER CARS.      ",HILTON,0,55,0,2011,4,0,12,0,31,EARLY,CIRR,2011-04-16 00:00:00+00,4050,0,Georgia,,"Rack, Roadbed and Structures",Track Geometry,0,Clear,27226,Derailment,0,Dark,16,0,AM,11-Apr,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E610000098F6CDFDD54554C0EFE4D3635B0A4040,70,0101000020110F0000922411B1BA3761C1200A1345F8CA4C41,"Y125 WAS PULLING CARS FROM THE PORT, THE CAR FELL IN DUE TO DEFECTIVE CROSSTIES. RAIL LINK TRACK DAM AGE IS $25,000.00.      ",SAVANNAH,4634,30,0,2012,3,0,1,0,31,CHATHAM,CSX,2012-01-26 00:00:00+00,4901,0,Georgia,SAVANNAH,"Rack, Roadbed and Structures","Rail, Joint Bar and Rail Anchoring",3,Clear,29634,Derailment,0,Day,26,0,PM,12-Jan,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E610000090DB2F9FAC4A55C04A7EC4AF581F4140,85,0101000020110F000051290068421562C1309F2F7312FD4E41,"G91G130 PULLING WEST WITH UNITS, 107 LOADS, O EMPTIES, 14613 TONS, DERAILED 5TH THROUGH 10 HEAD CARS .      ",ROME,1200,43,0,2012,2,0,5,14613,31,FLOYD,NS,2012-08-30 00:00:00+00,3277,0,Georgia,GEORGIA,Train operation - Human Factors,"Switches, Use of",2,Clear,17200,Derailment,0,Day,30,0,PM,12-Aug,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000520E6613602355C049D3A0681ECA4040,64,0101000020110F00001D9438FBE1F361C143A2531BA14E4E41,A74529 STRUCK A SEMI TRACTOR-TRAILER THAT WAS STUCK ON CROSSING RESULTING IN DAMAGES TO CROSSING SIG NAL AND LOCOMOTIVE.      ,UNION CITY,16588,20,0,2013,40,0,9,400,31,FULTON,CSX,2013-01-29 00:00:00+00,1197,0,Georgia,AWP W OF A,Train operation - Human Factors,Loading Procedures,40,Cloudy,26588,Hwy-rail crossing,0,Dark,29,1,PM,13-Jan,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E610000098F6CDFDD54554C0EFE4D3635B0A4040,72,0101000020110F0000922411B1BA3761C1200A1345F8CA4C41,2 CARS DERAILED ON A STRAIGHT TRACK WHILE SWITCHING CARS.       ,SAVANNAH,12000,45,0,2012,4,0,9,820,31,CHATHAM,GSWY,2012-01-02 00:00:00+00,6598,0,Georgia,SYSTEM,"Rack, Roadbed and Structures","Frogs, Switches and Track Appliances",4,Clear,14500,Derailment,0,Day,2,0,AM,12-Jan,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E610000098F6CDFDD54554C0EFE4D3635B0A4040,62,0101000020110F0000922411B1BA3761C1200A1345F8CA4C41,CSX Q10319 YARDING TRAIN S39 DERAILED 3RD & 4TH CARS AT 539 SWITCH.       ,SAVANNAH,0,50,0,2011,5,0,2,0,31,CHATHAM,GIMY,2011-10-19 00:00:00+00,331,0,Georgia,,Mechanical and Electrical Failures,Wheels,0,Rain,12247,Derailment,0,Dark,19,0,AM,11-Oct,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000004354E1CFF09654C0F8E0B54B1B363F40,68,0101000020110F000073E6CD8F9C7C61C116324E01E2EC4B41,UTLX 660570 STALLED GOING THROUGH THE NORTH MASTER RETARDER.  UTLX 660624 AND UTLX 201962 WERE PULLE D AFTER 6660570 WAS PULLED.  THE 660624 AND 201962 CAUGHT UP TO THE 660570 AND HIT THE CORNER OF THE CAR.     ,WAYCROSS,29921,59,0,2011,10,0,7,0,31,PIERCE,CSX,2011-05-13 00:00:00+00,8969,0,Georgia,,Mechanical and Electrical Failures,Brake,10,Clear,54984,Other,0,Dawn,13,0,AM,11-May,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000004354E1CFF09654C0F8E0B54B1B363F40,45,0101000020110F000073E6CD8F9C7C61C116324E01E2EC4B41,"COUPLING CARS IN B14 HOLDING BOTTOM ZONE- GAVE FOREMAN ON Y293 PERMISSION IN HIS ZONE, PERMISSION TO LEAVE HIS ZONE AND WHILE Y293 WAS PULLING OUT OF B03, Y29413 FOREMAN STRETCHED HIS CUT TOO FAR, FAI LED TO PROTECT THE HEAD END AND RAN INTO Y29313 CUT.     ",WAYCROSS,2500,15,0,2010,3,0,9,0,31,WARE,CSX,2010-03-13 00:00:00+00,6359,0,Georgia,,Train operation - Human Factors,General Switching Rules,3,Clear,13801,Other,0,Dark,13,0,PM,10-Mar,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000004354E1CFF09654C0F8E0B54B1B363F40,68,0101000020110F000073E6CD8F9C7C61C116324E01E2EC4B41,UTLX 660570 STALLED GOING THROUGH THE NORTH MASTER RETARDER.  UTLX 660624 AND UTLX 201962 WERE PULLE D AFTER 6660570 WAS PULLED.  THE 660624 AND 201962 CAUGHT UP TO THE 660570 AND HIT THE CORNER OF THE CAR.     ,WAYCROSS,25063,59,0,2011,10,0,7,0,31,PIERCE,CSX,2011-05-13 00:00:00+00,6225,0,Georgia,,Mechanical and Electrical Failures,Brake,10,Clear,54984,Other,0,Dawn,13,0,AM,11-May,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000004AF086342AE854C01A8524B37A6B4040,88,0101000020110F000035ACA66598C161C1EC3B37DB7D8E4D41,"GM23 SHOVING NORTH IN RT01 WITH 3 UNITS, 57 LOADS, 53 EMPTIES, 9200 TONS WHEN KNUCKLE BROKE ON NOKL 833130, XXHC, ALLOWING 26 CAR CUT TO ROLL FREE, STRIKING CONSIST OF GM21 HUMPING FROM ADJACENT TRACK , RT02.     ",MACON,26300,10,0,2013,3,0,8,0,31,BIBB,NS,2013-05-30 00:00:00+00,5993,0,Georgia,GEORGIA,Mechanical and Electrical Failures,Coupler and Draft System ,3,Clear,35300,Side collision,0,Dark,30,0,PM,13-May,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000001DFF0582000955C0959D7E5017194040,73,0101000020110F000080CB63DF7BDD61C127A36FB586E84C41,G80 DERAILED TWO CARS ON ANDERSONVILLE PASS TRACK AFTER SHOVING THROUGH A SWITCH POINT DERAIL AND PU LLING OVER IT.      ,ANDERSONVILLE,8500,45,0,2013,4,0,10,710,31,SUMTER,NS,2013-09-06 00:00:00+00,2553,0,Georgia,GEORGIA,Train operation - Human Factors,General Switching Rules,4,Clear,11000,Derailment,0,Dark,6,0,PM,13-Sep,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000009626A5A0DB3555C02864E76D6CF64040,54,0101000020110F00000AFB5D7D940362C1C537EF3D24A94E41,"G54G121 PULLING SOUTH ON NS OWNED AND MAINTAINED TRACK, MOVING BAD ORDER CARS WITH EXCESSIVE FLAT SP OTS WITH 1 UNIT , 6 LOADS.  3 EMPTIES 800 TONS.  DERAILED SAN 601.      ",DALLAS,0,0,0,2013,8,0,4,800,31,PAULDING,NS,2013-11-21 00:00:00+00,6474,0,Georgia,GEORGIA,Train operation - Human Factors,"Brakes, Use of",8,Cloudy,13156,Derailment,0,Dusk,21,0,PM,13-Nov,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000001346B3B27D6D54C0F0F78BD992494040,80,0101000020110F0000122D0F8A685961C1E9D3CB030C4A4D41,"BAD TIES, TRACK GAVE WAY       ",DOVER,77054,25,0,2012,10,0,4,2025,31,BULLOCH,GS,2012-09-12 00:00:00+00,8679,0,Georgia,SYSTEM,"Rack, Roadbed and Structures",Track Geometry,10,Clear,84797,Derailment,0,Day,12,0,PM,12-Sep,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000F50A0BEE071955C0581EA4A7C8DF4040,42,0101000020110F0000F1E500E918EB61C1E873151AD87A4E41,CSX YARD JOB Y13131 WAS SHOVING INTERMODAL TRAIN Q19431 NORTHWARD INTO RAMP TRACK 2 WHEN THE RAIL BR OKE UNDER THE MOVEMENT DERAILING DTTX 656658 AND DTTX 645682. THE DERAILED CARS SIDESWIPED TWO CARS IN RAMP TRACK 3. THESE DAMAGED CARS WERE FEC 72311 AND DTTX 620885.     ,ATLANTA,3643,0,0,2010,4,0,12,0,31,FULTON,CSX,2010-01-31 00:00:00+00,1500,0,Georgia,,"Rack, Roadbed and Structures","Rail, Joint Bar and Rail Anchoring",4,Clear,25350,Derailment,0,Day,31,0,PM,10-Jan,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E610000098F6CDFDD54554C0EFE4D3635B0A4040,80,0101000020110F0000922411B1BA3761C1200A1345F8CA4C41,CREW PULLING CUT OF 20 CARS INTO YARD WHEN 5 CARS DERAILED.       ,SAVANNAH,12000,55,0,2012,6,0,9,2800,31,CHATHAM,GSWY,2012-08-17 00:00:00+00,1132,0,Georgia,SYSTEM,"Rack, Roadbed and Structures",Track Geometry,6,Clear,20000,Derailment,0,Day,17,0,AM,12-Aug,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000AD4F39268BF954C0EFA99CF694FE4040,89,0101000020110F0000FC1E00E35AD061C16077F73DD9B94E41,"CREW WAS SHOVING 81 CARS AT TDSI ON TRACK 3 WHEN CARS 52,53,54,55,56,57,58 DERAILED DUE TO THE TRACK BUCKLING.      ",DACULA,13976,15,0,2011,4,0,3,10385,31,GWINNETT,CSX,2011-08-25 00:00:00+00,7765,0,Georgia,,"Rack, Roadbed and Structures", Track Geometry,4,Clear,15976,Derailment,0,Day,25,0,PM,11-Aug,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000004AF086342AE854C01A8524B37A6B4040,43,0101000020110F000035ACA66598C161C1EC3B37DB7D8E4D41,"G08G806 SHOVING NORTH WITH 43 LOADS AND 175 TONS INTO THE SOUTH END OF RECEIVING TRACK 5, DERAILED T HE LEAD 9 CARS OF THE SHOVE MOVE.      ",MACON,54900,0,0,2013,6,0,2,5715,31,BIBB,NS,2013-02-07 00:00:00+00,6381,0,Georgia,GEORGIA,"Rack, Roadbed and Structures","Rail, Joint Bar and Rail Anchoring",6,Clear,89900,Derailment,0,Dark,7,1,AM,13-Feb,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000004354E1CFF09654C0F8E0B54B1B363F40,70,0101000020110F000073E6CD8F9C7C61C116324E01E2EC4B41,UTLX 200904 ROLLED OUT OF WEST END OF B49 INTO Y19109 BEING PULLED ON LADDER.       ,WAYCROSS,3179,5,0,2013,4,0,11,0,31,WARE,CSX,2013-01-09 00:00:00+00,10339,0,Georgia,THOMASVILLE,Signal and Communication,Signal and Communication,4,Clear,14984,Other,0,Day,9,0,AM,13-Jan,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000001346B3B27D6D54C0F0F78BD992494040,72,0101000020110F0000122D0F8A685961C1E9D3CB030C4A4D41,WIDE GAUGE.       ,DOVER,7365,0,0,2012,8,0,11,2160,31,BULLOCH,GS,2012-10-01 00:00:00+00,3107,0,Georgia,SYSTEM,"Rack, Roadbed and Structures",Track Geometry,8,Clear,20923,Derailment,0,Day,1,0,AM,12-Oct,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E610000015FF7744854954C06005F86EF30E4040,58,0101000020110F000038ECF8D0DB3A61C1A0213C602ED44C41,"TRAIN 89 OPERATING WITH LOCOMOTIVE E/53 AND 7 CARS DERAILED ENGINE UNIT 53 AFTER COMPLETING A WYE MO VE AROUND THE RAIL LINK WYE.  THE CAUSE OF THE DERAILMENT WAS THE RAIL SPREADING UNDERNEATH E/53 ON THE EAST LEAD TRACK, DUE TO HEAVY RAINS THROUGH THE AREA.     ",GARDEN CITY,50000,55,0,2012,3,0,9,0,31,CHATHAM,ATK,2012-10-08 00:00:00+00,2075,0,Georgia,SAVANNAH,"Rack, Roadbed and Structures",Roadbed,3,Clear,51000,Derailment,0,Dark,8,0,PM,12-Oct,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000F50A0BEE071955C0581EA4A7C8DF4040,60,0101000020110F0000F1E500E918EB61C1E873151AD87A4E41,"WHEN HUMPING IN AUTOMATIC PRO YARD SYTEM, EEC 61188 MISMATCHED WITH CP 390343 DAMAGING THE L4 CORNER S OF EACH CAR.      ",ATLANTA,17858,45,0,2010,4,0,9,0,31,FULTON,CSX,2010-04-21 00:00:00+00,924,0,Georgia,,Signal and Communication,Signal and Communication,4,Clear,17858,Other,0,Day,21,0,AM,10-Apr,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000965CC5E237A954C01D3C139A24BA4040,80,0101000020110F0000E0DA2580228C61C1A06A97AF142E4E41,A72520 DERAILED CARS 17 AND 18 ACCOUNT OF BROKEN RAIL ON TRACK M1.       ,CAMAK,35081,50,0,2010,7,0,9,2000,31,WARREN,CSX,2010-09-20 00:00:00+00,9674,0,Georgia,,"Rack, Roadbed and Structures","Rail, Joint Bar and Rail Anchoring",7,Clear,35581,Derailment,0,Day,20,0,AM,10-Sep,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000008657923CD72455C0A98427F4FAE73E40,85,0101000020110F000071F8049B20F561C1CA8615F46C9F4B41,Y10122 WAS PULLING OUT OF ERGON WHEN CAR DERAILED.       ,BAINBRIDGE,14521,50,0,2013,5,0,12,0,31,DECATUR,CSX,2013-07-22 00:00:00+00,5712,0,Georgia,DOTHAN,Mechanical and Electrical Failures,Truck Components,5,Cloudy,14721,Derailment,0,Day,22,0,PM,13-Jul,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000F50A0BEE071955C0581EA4A7C8DF4040,46,0101000020110F0000F1E500E918EB61C1E873151AD87A4E41,Y12530 WAS PULLING DOWN THE SWITCHING LEAD AT HOWELLS YARD INTO H04 WHEN THE RAIL BROKE JUST NORTH O F THE H04 SWITCH DERAILING 4 CARS. ONE CAR THEN SIDESWIPED TWO CARS IN TRACK H03.      ,ATLANTA,27626,15,0,2011,4,0,1,0,31,FULTON,CSX,2011-11-30 00:00:00+00,1967,0,Georgia,,"Rack, Roadbed and Structures","Rail, Joint Bar and Rail Anchoring",0,Clear,42253,Derailment,0,Day,30,0,PM,11-Nov,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000E5B67D8FFAD154C011381268B0D53E40,82,0101000020110F00002A494EACC0AE61C149EF24AA538D4B41,G68G403 SHOVING SOUTH ON NS OWNED AND MAINTAINED TRACK.  DERAILED TWO CARS.       ,VALDOSTA,22500,0,0,2013,8,0,11,9991,31,LOWNDES,NS,2013-10-03 00:00:00+00,7672,0,Georgia,GEORGIA,"Rack, Roadbed and Structures","Frogs, Switches and Track Appliances",8,Clear,27500,Derailment,0,Day,3,0,AM,13-Oct,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000008657923CD72455C0A98427F4FAE73E40,87,0101000020110F000071F8049B20F561C1CA8615F46C9F4B41,DRIVER LOST BRAKES AND RAN IN FRONT OF Q65005. PROTECTION ALSO AT THE XING INCLUDE: ADVANCE WARNING AND PAVEMENT MARKINGS (STOPLINES AND RRXING SYMBOLS). DRIVER WAS INJURED. VEHICLE SPEED IS UNKNOWN.      ,BAINBRIDGE,1862,58,0,2011,23,0,9,1267,31,DECATUR,CSX,2011-07-05 00:00:00+00,6247,1,Georgia,,Miscellaneous Causes Not Otherwise Listed,Loading Procedures,23,Clear,43362,Hwy-rail crossing,0,Day,5,0,AM,11-Jul,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E61000004AF086342AE854C01A8524B37A6B4040,85,0101000020110F000035ACA66598C161C1EC3B37DB7D8E4D41,"GM62, SHOVING SOUTH WITH 2 UNITS, 16 LOADS, 10 EMPTIES, 1846 TONS, STRUCK THE SIDE OF GM60, CONCURRE NTELY SHOVING SOUTH WITH 2 UNITS, 5 LOADS, 28 EMPTIES, 1730 TONS, DERAILING 24TH THROUGH 26TH HEAD C ARS OF GM62'S TRAIN AND THE 31ST HEAD CARS OF GM60'S TRAIN.     ",MACON,37500,25,0,2012,9,0,6,0,31,BIBB,NS,2012-06-12 00:00:00+00,9203,0,Georgia,GEORGIA,Train operation - Human Factors,"Switches, Use of",8,Clear,88500,Side collision,0,Day,12,0,PM,12-Jun,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
0101000020E6100000637FD93D795255C01DAD6A4947DF4040,32,0101000020110F0000258CD422E21B62C141E818D4CF794E41,"FIRST LEAD TAMPER, #ET400016 WAS STRUCK BYTHE SECOND LEAD TAMPER #ET807SJ4.       ",TALLAPOOSA,8000,41,0,2010,6,0,9,0,31,HARALSON,NS,2010-12-06 00:00:00+00,10133,0,Georgia,,Train operation - Human Factors,Miscellaneous,6,Clear,47360,Other,0,Day,6,0,AM,10-Dec,http://www.eurail.com/sites/eurail.com/files/styles/asset_image_responsive_common_big_image/public/tgv_high-speed_train_france.jpg,00601
